X (Grid)	Y (Grid)	X (m)	Y (m)	Data
87	92	350	30	0
88	92	354	30	0
89	92	358	30	0
90	92	362	30	0
91	92	366	30	0
92	92	370	30	0
93	92	374	30	0
94	92	378	30	0
95	92	382	30	0
96	92	386	30	0
97	92	390	30	0
98	92	394	30	0
99	92	398	30	0
0	91	2	34	0
1	91	6	34	0
2	91	10	34	0
3	91	14	34	0
4	91	18	34	0
5	91	22	34	0
6	91	26	34	0
7	91	30	34	0
8	91	34	34	0
9	91	38	34	0
10	91	42	34	0
11	91	46	34	0
12	91	50	34	0
13	91	54	34	0
14	91	58	34	0
15	91	62	34	0
16	91	66	34	0
17	91	70	34	0
18	91	74	34	0
19	91	78	34	0
20	91	82	34	0
21	91	86	34	0
22	91	90	34	0
23	91	94	34	0
24	91	98	34	0
25	91	102	34	0
26	91	106	34	0
27	91	110	34	0
28	91	114	34	0
29	91	118	34	0
30	91	122	34	0
31	91	126	34	0
32	91	130	34	0
33	91	134	34	0
34	91	138	34	0
35	91	142	34	0
36	91	146	34	0
37	91	150	34	0
38	91	154	34	0
39	91	158	34	0
40	91	162	34	0
41	91	166	34	0
42	91	170	34	0
43	91	174	34	0
44	91	178	34	0
45	91	182	34	0
46	91	186	34	0
47	91	190	34	0
48	91	194	34	0
49	91	198	34	0
50	91	202	34	0
51	91	206	34	0
52	91	210	34	0
53	91	214	34	0
54	91	218	34	0
55	91	222	34	0.254648
56	91	226	34	0.18355
57	91	230	34	1.101438
58	91	234	34	1.050686
59	91	238	34	0.550038
60	91	242	34	1.082087
61	91	246	34	1.726154
62	91	250	34	2.458653
63	91	254	34	3.034494
64	91	258	34	3.811224
65	91	262	34	3.163305
66	91	266	34	2.750331
67	91	270	34	2.563734
68	91	274	34	3.088686
69	91	278	34	3.935292
70	91	282	34	2.856678
71	91	286	34	2.758954
72	91	290	34	2.672088
73	91	294	34	2.100125
74	91	298	34	2.035344
75	91	302	34	1.572059
76	91	306	34	0.802243
77	91	310	34	0
78	91	314	34	0
79	91	318	34	0
80	91	322	34	0
81	91	326	34	0
82	91	330	34	0
83	91	334	34	0
84	91	338	34	0
85	91	342	34	0
86	91	346	34	0
87	91	350	34	0
88	91	354	34	0
89	91	358	34	0
90	91	362	34	0
91	91	366	34	0
92	91	370	34	0
93	91	374	34	0
94	91	378	34	0
95	91	382	34	0
96	91	386	34	0
97	91	390	34	0
98	91	394	34	0
99	91	398	34	0
0	90	2	38	0
1	90	6	38	0
2	90	10	38	0
3	90	14	38	0
4	90	18	38	0
5	90	22	38	0
6	90	26	38	0
